iata,lat,lon,country,icao,tz,city,subd,size
MHO,-17.055,125.71,AU,YMHO,Australia/Perth,,Western Australia,small
XML,-34.75,137.533,AU,YMIN,Australia/Adelaide,,South Australia,small
MMM,-22.8025,148.705,AU,YMMU,Australia/Brisbane,,Queensland,small
MOV,-22.0578,148.077,AU,YMRB,Australia/Brisbane,Moranbah,Queensland,small
MXD,-23.3667,139.66701,AU,YMWX,Australia/Brisbane,,Queensland,small
NAA,-30.3192,149.827,AU,YNBR,Australia/Sydney,Narrabri,New South Wales,small
NYN,-31.5511,147.203,AU,YNYN,Australia/Sydney,,New South Wales,small
KGY,-26.5808,151.841,AU,YKRY,Australia/Brisbane,,Queensland,small
LGH,-30.5983,138.42599,AU,YLEC,Australia/Adelaide,,South Australia,small
LFP,-14.9333,144.2,AU,YLFD,Australia/Brisbane,,Queensland,small
LSY,-28.8303,153.25999,AU,YLIS,Australia/Sydney,Lismore,New South Wales,small
TGN,-38.2072,146.47,AU,YLTV,Australia/Melbourne,,Victoria,small
LZR,-14.6667,145.45,AU,YLZI,Australia/Brisbane,,Queensland,small
MQA,-19.7383,120.838,AU,YMDI,Australia/Perth,Mandora,Western Australia,small
GSN,-31.4597,137.174,AU,YMGN,Australia/Adelaide,Mount Gunson,South Australia,small
NRA,-34.7022,146.51199,AU,YNAR,Australia/Sydney,Narrandera,New South Wales,small
OLP,-30.485,136.877,AU,YOLD,Australia/Adelaide,Olympic Dam,South Australia,small
OAG,-33.3817,149.133,AU,YORG,Australia/Sydney,Orange,New South Wales,small
DRW,-12.4147,130.877,AU,YPDN,Australia/Darwin,Darwin,Northern Territory,small
LDH,-31.5383,159.077,AU,YLHI,Australia/Lord_Howe,Lord Howe Island,New South Wales,small
LVO,-28.6136,122.424,AU,YLTN,Australia/Perth,,Western Australia,small
UBB,-9.95,142.183,AU,YMAA,Australia/Brisbane,Mabuiag Island,Queensland,small
MLR,-37.5836,140.366,AU,YMCT,Australia/Adelaide,,South Australia,small
MIM,-36.9086,149.901,AU,YMER,Australia/Sydney,Merimbula,New South Wales,small
MGV,-18.6217,126.883,AU,YMGR,Australia/Perth,,Western Australia,small
WUI,-28.7053,121.891,AU,YMMI,Australia/Perth,,Western Australia,small
UTB,-22.5833,144.533,AU,YMTB,Australia/Brisbane,,Queensland,small
RTY,-28.5833,140.317,AU,YMYT,Australia/Adelaide,,South Australia,small
NBH,-30.65,153.0,AU,YNHS,Australia/Sydney,Nambucca Heads,New South Wales,small
NAC,-36.9853,140.72501,AU,YNRC,Australia/Adelaide,,South Australia,small
CCK,-12.1883,96.8339,CC,YPCC,Indian/Cocos,Cocos (Keeling) Islands,,small
LEL,-12.4989,135.806,AU,YLEV,Australia/Darwin,,Northern Territory,small
IRG,-12.7869,143.30499,AU,YLHR,Australia/Brisbane,,Queensland,small
LTP,-19.1958,144.371,AU,YLHS,Australia/Brisbane,Lyndhurst,Queensland,small
AVV,-38.0394,144.46899,AU,YMAV,Australia/Melbourne,Melbourne,Victoria,small
OOR,-25.25,140.983,AU,YMOO,Australia/Brisbane,,Queensland,small
MET,-12.4442,142.638,AU,YMOT,Australia/Brisbane,Moreton,Queensland,small
MGB,-37.7456,140.785,AU,YMTG,Australia/Adelaide,,South Australia,small
MUQ,-20.6589,120.067,AU,YMUC,Australia/Perth,Muccan Station,Western Australia,small
