iata,lat,lon,country,icao,tz,city,subd,size
NYI,7.36183,-2.32876,GH,DGSN,Africa/Accra,Sunyani,Brong-Ahafo,small
HGO,9.38718,-5.55666,CI,DIKO,Africa/Abidjan,,Savanes,small
KEO,9.5,-7.567,CI,DIOD,Africa/Abidjan,Odienne,Denguele,small
NBE,36.07583,10.43861,TN,DNTZ,Africa/Tunis,Enfidha,Susah,medium
HAM,53.6304,9.98823,DE,EDDH,Europe/Berlin,Hamburg,Hamburg,large
HAJ,52.4611,9.68508,DE,EDDV,Europe/Berlin,Hannover,Niedersachsen,large
XFW,53.53528,9.83556,DE,EDHI,Europe/Berlin,Hamburg,Hamburg,small
BAS,-6.99075,155.88666,SB,AGGE,Pacific/Guadalcanal,Ballalae,,small
FRE,-8.1075,159.577,SB,AGGF,Pacific/Guadalcanal,Fera Island,Isabel,small
XYA,-9.09282,159.21841,SB,AGGY,Pacific/Guadalcanal,Yandina,,small
AMU,-3.586,141.21433,PG,AYAM,Pacific/Port_Moresby,Amanab,Sandaun,small
BDZ,-6.34722,146.94222,PG,AYBG,Pacific/Port_Moresby,,Morobe,small
CMU,-6.02429,144.97099,PG,AYCH,Pacific/Port_Moresby,Kundiawa,Chimbu,small
KIE,-6.305,155.72778,PG,AYIQ,Pacific/Bougainville,Kieta,Bougainville Island,small
UNG,-6.12571,141.282,PG,AYKI,Pacific/Port_Moresby,Kiunga,Western Province,small
KRI,-7.42438,144.25008,PG,AYKK,Pacific/Port_Moresby,Kikori,Gulf,small
MXK,-6.47167,147.44114,PG,AYMI,Pacific/Port_Moresby,Mindik,Morobe,small
MDU,-6.14774,143.657,PG,AYMN,Pacific/Port_Moresby,,Southern Highlands,small
SIL,-9.07356,148.38925,PG,AYSG,Pacific/Port_Moresby,Sila Mission,Northern Province,small
EGS,65.2833,-14.4014,IS,BIEG,Atlantic/Reykjavik,Egilsstadir,East,small
IFJ,66.0581,-23.1353,IS,BIIS,Atlantic/Reykjavik,Isafjordur,Westfjords,small
KEF,63.985,-22.6056,IS,BIKF,Atlantic/Reykjavik,Reykjavik,Southern Peninsula,medium
MVA,65.6558,-16.9181,IS,BIRL,Atlantic/Reykjavik,Myvatn,Northeast,small
YHG,52.765,-56.1156,CA,CCH4,America/St_Johns,Charlottetown,Newfoundland and Labrador,small
ZFW,56.0814,-118.435,CA,CEB5,America/Edmonton,Fairview,Alberta,small
YDJ,58.6625,-103.538,CA,CJL2,America/Regina,Hatchet Lake,Saskatchewan,small
YKE,54.9153,-94.7981,CA,CJT3,America/Winnipeg,Knee Lake,Manitoba,small
YKD,44.2014,-81.6067,CA,CNS7,America/Toronto,Kincardine,Ontario,small
ZTB,50.6744,-59.3836,CA,CTB6,America/Blanc-Sablon,Tete-a-la-Baleine,Quebec,small
YCY,70.4861,-68.5167,CA,CYCY,America/Toronto,Clyde River,Nunavut,small
YDQ,55.7423,-120.183,CA,CYDQ,America/Dawson_Creek,Dawson Creek,British Columbia,small
YFC,45.8689,-66.5372,CA,CYFC,America/Moncton,Fredericton,New Brunswick,small
YGR,47.4247,-61.7781,CA,CYGR,America/Toronto,Iles-de-la-Madeleine,Quebec,small
YJA,52.9967,-118.059,CA,CYJA,America/Edmonton,Jasper,Alberta,small
YPN,49.8364,-64.2886,CA,CYPN,America/Toronto,Port-Menier,Quebec,small
YRJ,48.52,-72.2656,CA,CYRJ,America/Toronto,Roberval,Quebec,small
YRO,45.4603,-75.6461,CA,CYRO,America/Toronto,Ottawa,Ontario,small
YSB,46.625,-80.7989,CA,CYSB,America/Toronto,Falconbridge,Ontario,small
YST,53.8456,-94.8519,CA,CYST,America/Winnipeg,St. Theresa Point,Manitoba,small
YTE,64.23,-76.5267,CA,CYTE,America/Toronto,Cape Dorset,Nunavut,small
YWJ,65.2111,-123.436,CA,CYWJ,America/Edmonton,Deline,Northwest Territories,small
YXL,50.1139,-91.9053,CA,CYXL,America/Winnipeg,Sioux Lookout,Ontario,small
YXT,54.4685,-128.576,CA,CYXT,America/Vancouver,Terrace,British Columbia,small
YXY,60.7096,-135.067,CA,CYXY,America/Whitehorse,Whitehorse,Yukon,small
YYD,54.8247,-127.183,CA,CYYD,America/Vancouver,Smithers,British Columbia,small
YYT,47.6186,-52.7519,CA,CYYT,America/St_Johns,St. John's,Newfoundland and Labrador,small
YYW,50.2903,-88.9097,CA,CYYW,America/Toronto,Armstrong,Ontario,small
YZV,50.2233,-66.2656,CA,CYZV,America/Toronto,Sept-Iles,Quebec,small
WPC,49.5206,-113.997,CA,CZPC,America/Edmonton,Pincher Creek,Alberta,small
ZUC,49.4297,-91.7178,CA,CZUC,America/Winnipeg,Ignace,Ontario,small
BJA,36.712,5.06992,DZ,DAAE,Africa/Algiers,Bejaia,Bejaia,small
TAF,35.5424,-0.53228,DZ,DAOL,Africa/Algiers,,Oran,small
INF,19.567,5.75,DZ,DATG,Africa/Algiers,In Guezzam,Tamanrasset,small
OGX,31.9172,5.41278,DZ,DAUU,Africa/Algiers,Ouargla,Ouargla,small
PKO,9.35769,2.60968,BJ,DBBP,Africa/Porto-Novo,Parakou,Borgou,small
XLU,11.1,-2.1,BF,DFCL,Africa/Ouagadougou,Leo,,small
TEG,11.8,-0.367,BF,DFET,Africa/Ouagadougou,Tenkodogo,,small
OUA,12.3532,-1.51242,BF,DFFD,Africa/Ouagadougou,Ouagadougou,,medium
BNR,10.683,-4.717,BF,DFOB,Africa/Ouagadougou,Banfora,Cascades,small
OGO,6.71556,-3.47028,CI,DIAU,Africa/Abidjan,Abengourou,,small
BQO,9.2775,-3.02528,CI,DIBN,Africa/Abidjan,Bouna,,small
LOS,6.57737,3.32116,NG,DNMM,Africa/Lagos,Lagos,Lagos,large
LRL,9.76733,1.09125,TG,DXNG,Africa/Lome,Niamtougou,Kara,small
HHN,49.9487,7.26389,DE,EDFH,Europe/Berlin,Hahn,Rheinland-Pfalz,medium
MHG,49.47306,8.51417,DE,EDFM,Europe/Berlin,Mannheim,Baden-Württemberg,small
KEL,54.37944,10.14528,DE,EDHK,Europe/Berlin,Kiel,Schleswig-Holstein,small
BFE,51.96472,8.54444,DE,EDLI,Europe/Berlin,Bielefeld,Nordrhein-Westfalen,small
DTM,51.5183,7.61224,DE,EDLW,Europe/Berlin,Dortmund,Nordrhein-Westfalen,medium
AGB,48.42528,10.93167,DE,EDMA,Europe/Berlin,Augsburg,Bayern,medium
EME,53.39111,7.2275,DE,EDWE,Europe/Berlin,Emden,Niedersachsen,small
LGO,53.7425,7.49778,DE,EDWL,Europe/Berlin,Langeoog,Niedersachsen,small
URE,58.2299,22.5095,EE,EEKE,Europe/Tallinn,Kuressaare,Saare,small
TAY,58.3075,26.6904,EE,EETU,Europe/Tallinn,Tartu,Tartu,small
KEV,61.856,24.7866,FI,EFHA,Europe/Helsinki,Halli / Kuorevesi,Central Finland,small
OUL,64.9301,25.3546,FI,EFOU,Europe/Helsinki,Oulu / Oulunsalo,Northern Ostrobothnia,small
SVL,61.9431,28.9451,FI,EFSA,Europe/Helsinki,Savonlinna,Southern Savonia,small
SJY,62.6921,22.8323,FI,EFSI,Europe/Helsinki,Seinajoki / Ilmajoki,Southern Ostrobothnia,small
LDY,55.0428,-7.16111,GB,EGAE,Europe/London,Derry,Northern Ireland,small
VRK,62.1711,27.8686,FI,EFVR,Europe/Helsinki,Varkaus / Joroinen,Southern Savonia,small
TKU,60.5141,22.2628,FI,EFTU,Europe/Helsinki,Turku,Finland-Proper,small
GLO,51.8942,-2.16722,GB,EGBJ,Europe/London,Staverton,England,medium
NQT,52.92,-1.07917,GB,EGBN,Europe/London,Nottingham,England,small
MAN,53.3537,-2.27495,GB,EGCC,Europe/London,Manchester,England,small
WRY,59.3503,-2.95,GB,EGEW,Europe/London,Westray,Scotland,small
SEN,51.5714,0.69556,GB,EGMC,Europe/London,Southend,England,medium
INV,57.5425,-4.0475,GB,EGPE,Europe/London,Inverness,Scotland,small
BZZ,51.75,-1.58362,GB,EGVN,Europe/London,Brize Norton,England,small
CEG,53.1781,-2.97778,GB,EGNR,Europe/London,Hawarden,Wales,small
UNT,60.7472,-0.85385,GB,EGPW,Europe/London,Shetland Islands,Scotland,small
LMO,57.7052,-3.33917,GB,EGQS,Europe/London,Lossiemouth,Scotland,small
CBG,52.205,0.175,GB,EGSC,Europe/London,Cambridge,England,small
GBA,51.6681,-2.05694,GB,EGBP,Europe/London,Kemble,England,small
DSA,53.48054,-1.01066,GB,EGCN,Europe/London,Doncaster,England,medium
EOI,59.1906,-2.77222,GB,EGED,Europe/London,Eday,Scotland,small
NDY,59.2503,-2.57667,GB,EGES,Europe/London,Sanday,Scotland,small
LTN,51.8747,-0.36833,GB,EGGW,Europe/London,London,England,large
QUG,50.8594,-0.75917,GB,EGHR,Europe/London,Chichester,England,small
FAB,51.2758,-0.77633,GB,EGLF,Europe/London,Farnborough,England,medium
LBA,53.8659,-1.66057,GB,EGNM,Europe/London,Leeds,England,medium
NCL,55.0375,-1.69167,GB,EGNT,Europe/London,Newcastle,England,medium
PIK,55.5094,-4.58667,GB,EGPK,Europe/London,Glasgow,Scotland,small
PSL,56.4392,-3.37222,GB,EGPT,Europe/London,Perth,Scotland,small
HYC,51.6117,-0.80833,GB,EGTB,Europe/London,High Wycombe,England,small
FZO,51.5194,-2.59083,GB,EGTG,Europe/London,Bristol,England,small
CVT,52.3697,-1.47972,GB,EGBE,Europe/London,Coventry,England,small
ADX,56.3729,-2.86844,GB,EGQL,Europe/London,St. Andrews,Scotland,small
BHX,52.4539,-1.74803,GB,EGBB,Europe/London,Birmingham,England,large
NRL,59.3675,-2.43444,GB,EGEN,Europe/London,North Ronaldsay,Scotland,small
OBN,56.4635,-5.39967,GB,EGEO,Europe/London,North Connel,Scotland,small
CSA,56.0575,-6.24306,GB,EGEY,Europe/London,Colonsay,Scotland,small
ESH,50.8356,-0.29722,GB,EGKA,Europe/London,Brighton,England,small
GLA,55.8719,-4.43306,GB,EGPF,Europe/London,Glasgow,Scotland,large
SYY,58.2156,-6.33111,GB,EGPO,Europe/London,Stornoway,Scotland,small
QUY,52.3572,-0.10783,GB,EGUY,Europe/London,St. Ives,England,small
FIE,59.5358,-1.62806,GB,EGEF,Europe/London,Fair Isle,Scotland,small
COL,56.6019,-6.61778,GB,EGEL,Europe/London,Coll Island,Scotland,small
SOY,59.1553,-2.64139,GB,EGER,Europe/London,Stronsay,Scotland,small
HAW,51.8331,-4.96111,GB,EGFE,Europe/London,Haverfordwest,Wales,small
PLH,50.4228,-4.10583,GB,EGHD,Europe/London,Plymouth,England,small
LGW,51.1481,-0.19028,GB,EGKK,Europe/London,London,England,large
SCS,60.4328,-1.29611,GB,EGPM,Europe/London,Shetland Islands,Scotland,small
OXF,51.8369,-1.32,GB,EGTK,Europe/London,Kidlington,England,medium
LKZ,52.4093,0.561,GB,EGUL,Europe/London,Lakenheath,England,small
TMP,61.4141,23.6044,FI,EFTP,Europe/Helsinki,Tampere / Pirkkala,Pirkanmaa,small
ENK,54.3989,-7.65167,GB,EGAB,Europe/London,Enniskillen,Northern Ireland,small
CAL,55.4372,-5.68639,GB,EGEC,Europe/London,Campbeltown,Scotland,small
PPW,59.3517,-2.90028,GB,EGEP,Europe/London,Papa Westray,Scotland,small
BOH,50.78,-1.8425,GB,EGHH,Europe/London,Bournemouth,England,medium
SOU,50.9503,-1.3568,GB,EGHI,Europe/London,Southampton,England,small
GCI,49.435,-2.60197,GG,EGJB,Europe/Guernsey,Saint Peter Port,Forest,medium
WRT,53.7451,-2.88306,GB,EGNO,Europe/London,Warton,England,small
LSI,59.8789,-1.29556,GB,EGPB,Europe/London,Lerwick,Scotland,small
EDI,55.95,-3.3725,GB,EGPH,Europe/London,Edinburgh,Scotland,large
BRR,57.0228,-7.44306,GB,EGPR,Europe/London,Eoligarry,Scotland,small
FFD,51.6822,-1.79003,GB,EGVA,Europe/London,Fairford,England,small
ISC,49.9133,-6.29167,GB,EGHE,Europe/London,St. Mary's,England,small
JER,49.2079,-2.19551,JE,EGJJ,Europe/Jersey,Saint Helier,St-Peter,medium
RCS,51.3519,0.50333,GB,EGTO,Europe/London,Rochester,England,small
VAA,63.0507,21.7622,FI,EFVA,Europe/Helsinki,Vaasa,Ostrobothnia,small
YEO,51.0094,-2.63882,GB,EGDY,Europe/London,Yeovil,England,small
WHS,60.3775,-0.92556,GB,EGEH,Europe/London,Whalsay,Scotland,small
BRS,51.3827,-2.71909,GB,EGGD,Europe/London,Bristol,England,large
BQH,51.3308,0.0325,GB,EGKB,Europe/London,London,England,medium
BBS,51.3239,-0.8475,GB,EGLK,Europe/London,Yateley,England,small
BWF,54.1312,-3.26367,GB,EGNL,Europe/London,Barrow-in-Furness,England,small
IOM,54.0833,-4.62389,IM,EGNS,Europe/Isle_of_Man,Castletown,Castletown,small
BEX,51.6164,-1.09583,GB,EGUB,Europe/London,Benson,England,small
SOT,67.395,26.6191,FI,EFSO,Europe/Helsinki,Sodankyla,Lapland,small
ORM,52.3053,-0.79306,GB,EGBK,Europe/London,Northampton,England,small
MSE,51.3422,1.34611,GB,EGMH,Europe/London,Manston,England,small
CAX,54.9375,-2.80917,GB,EGNC,Europe/London,Carlisle,England,small
BLK,53.7717,-3.02861,GB,EGNH,Europe/London,Blackpool,England,small
ILY,55.6819,-6.25667,GB,EGPI,Europe/London,Port Ellen,Scotland,small
BEB,57.4811,-7.36278,GB,EGPL,Europe/London,Balivanich,Scotland,small
DND,56.4525,-3.02583,GB,EGPN,Europe/London,Dundee,Scotland,small
FSS,57.6494,-3.56064,GB,EGQK,Europe/London,Kinloss,Scotland,small
NWI,52.6758,1.28278,GB,EGSH,Europe/London,Norwich,England,medium
STN,51.885,0.235,GB,EGSS,Europe/London,London,England,large
BHD,54.6181,-5.8725,GB,EGAC,Europe/London,Belfast,Northern Ireland,medium
WFD,53.3381,-2.14889,GB,EGCD,Europe/London,Manchester,England,small
LPL,53.3336,-2.84972,GB,EGGP,Europe/London,Liverpool,England,medium
LCY,51.5053,0.05528,GB,EGLC,Europe/London,London,England,large
HUY,53.5744,-0.35083,GB,EGNJ,Europe/London,Grimsby,England,small
KOI,58.9578,-2.905,GB,EGPA,Europe/London,Orkney Islands,Scotland,small
BFS,54.6575,-6.21583,GB,EGAA,Europe/London,Belfast,Northern Ireland,large
LWK,60.1922,-1.24361,GB,EGET,Europe/London,Lerwick,Scotland,small
SWS,51.6053,-4.06783,GB,EGFH,Europe/London,Swansea,Wales,small
LEQ,50.1028,-5.67056,GB,EGHC,Europe/London,Land's End,England,small
NQY,50.4406,-4.99541,GB,EGHQ,Europe/London,Newquay,England,small
WIC,58.4589,-3.09306,GB,EGPC,Europe/London,Wick,Scotland,small
ABZ,57.2019,-2.19778,GB,EGPD,Europe/London,Aberdeen,Scotland,large
TRE,56.4992,-6.86917,GB,EGPU,Europe/London,Balemartine,Scotland,small
YLI,64.0605,24.716,FI,EFYL,Europe/Helsinki,,Northern Ostrobothnia,small
LHB,52.49297,-1.12509,GB,EG74,Europe/London,Bruntingthorpe,,small
LYE,51.5051,-1.99343,GB,EGDL,Europe/London,Lyneham,England,small
ACI,49.7061,-2.21472,GG,EGJA,Europe/Guernsey,Saint Anne,Alderney,small
LHR,51.4706,-0.46194,GB,EGLL,Europe/London,London,England,large
BBP,50.6781,-1.10944,GB,EGHJ,Europe/London,Bembridge,England,small
MME,54.5092,-1.42941,GB,EGNV,Europe/London,Durham,England,small
UTI,60.8964,26.9384,FI,EFUT,Europe/Helsinki,Utti / Valkeala,Kymenlaakso,small
LYX,50.9561,0.93917,GB,EGMD,Europe/London,Lydd,England,small
BOL,55.0603,-7.02028,GB,EGQB,Europe/London,Ballykelly,Northern Ireland,small
EXT,50.7344,-3.41389,GB,EGTE,Europe/London,Exeter,England,small
MHZ,52.3619,0.48641,GB,EGUN,Europe/London,Mildenhall,England,small
ODH,51.2341,-0.94283,GB,EGVO,Europe/London,Odiham,England,small
UPV,51.2862,-1.78202,GB,EGDJ,Europe/London,Upavon,England,small
CWL,51.3967,-3.34333,GB,EGFF,Europe/London,Cardiff,Wales,small
EMA,52.8311,-1.32806,GB,EGNX,Europe/London,Nottingham,England,large
HRT,54.0489,-1.25275,GB,EGXU,Europe/London,Linton-On-Ouse,England,small
QCY,53.093,-0.16601,GB,EGXC,Europe/London,Coningsby,England,small
ENS,52.27,6.87417,NL,EHTW,Europe/Amsterdam,Enschede,Overijssel,small
INQ,53.0647,-9.5109,IE,EIIR,Europe/Dublin,Inis Oirr,Connaught,small
ANX,69.2925,16.1442,NO,ENAN,Europe/Oslo,Andenes,Nordland,small
BNN,65.4611,12.2175,NO,ENBN,Europe/Oslo,Brønnøy,Nordland,small
HAA,70.4867,22.1397,NO,ENHK,Europe/Oslo,Hasvik,Finnmark,small
HOV,62.18,6.0741,NO,ENOV,Europe/Oslo,Ørsta,Møre og Romsdal,small
TRD,63.4578,10.924,NO,ENVA,Europe/Oslo,Trondheim,Nord-Trøndelag,medium
OKH,52.7357,-0.64877,GB,EGXJ,Europe/London,Cottesmore,England,small
EVE,68.4913,16.6781,NO,ENEV,Europe/Oslo,Evenes,Nordland,small
HAU,59.3453,5.20836,NO,ENHD,Europe/Oslo,Karmoy,Rogaland,small
KSU,63.1118,7.82452,NO,ENKB,Europe/Oslo,Kvernberget,Møre og Romsdal,small
RRS,62.5784,11.3423,NO,ENRO,Europe/Oslo,Roros,Sor-Trøndelag,small
RET,67.5278,12.1033,NO,ENRS,Europe/Oslo,,Nordland,small
SKE,59.185,9.56694,NO,ENSN,Europe/Oslo,Geiteryggen,Telemark,small
MPN,-51.8228,-58.4472,FK,EGYP,Atlantic/Stanley,Mount Pleasant,Tierra-del-Fuego,small
SGD,54.9644,9.79173,DK,EKSB,Europe/Copenhagen,Sonderborg,South Denmark,small
HMR,60.8181,11.068,NO,ENHA,Europe/Oslo,Hamar,Hedmark,small
NTB,59.5657,9.21222,NO,ENNO,Europe/Oslo,,Telemark,small
SSJ,65.9568,12.4689,NO,ENST,Europe/Oslo,Alstahaug,Nordland,small
EIN,51.4501,5.37453,NL,EHEH,Europe/Amsterdam,Eindhoven,North Brabant,large
GWY,53.3002,-8.94159,IE,EICM,Europe/Dublin,Galway,Connaught,small
OSY,64.4722,11.5786,NO,ENNM,Europe/Oslo,Namsos,Nor-Trøndelag,small
SRP,59.7919,5.34085,NO,ENSO,Europe/Oslo,Leirvik,Hordaland,small
GDN,54.3776,18.4662,PL,EPGD,Europe/Warsaw,Gdańsk,Pomerania,large
GRQ,53.1197,6.57944,NL,EHGG,Europe/Amsterdam,Groningen,Drenthe,small
GLZ,51.5674,4.93183,NL,EHGR,Europe/Amsterdam,Breda,North Brabant,small
IOR,53.1067,-9.65361,IE,EIIM,Europe/Dublin,Inis Mor,Connaught,small
NOC,53.9103,-8.81849,IE,EIKN,Europe/Dublin,Charleston,Connaught,small
EBJ,55.5259,8.5534,DK,EKEB,Europe/Copenhagen,Esbjerg,South Denmark,small
KRP,56.2975,9.12463,DK,EKKA,Europe/Copenhagen,Karup,Central Jutland,small
MRW,54.6993,11.4401,DK,EKMB,Europe/Copenhagen,Lolland Falster / Maribo,Zealand,small
LKN,68.1525,13.6094,NO,ENLK,Europe/Oslo,Leknes,Nordland,small
LYR,78.2461,15.4656,NO,ENSB,Arctic/Longyearbyen,Longyearbyen,Svalbard,small
MRH,52.6484,0.55069,GB,EGYM,Europe/London,Marham,England,small
MST,50.9117,5.77014,NL,EHBK,Europe/Amsterdam,Maastricht,Limburg,small
WAT,52.1872,-7.08696,IE,EIWF,Europe/Dublin,Waterford,Munster,small
SKS,55.2256,9.26393,DK,EKSP,Europe/Copenhagen,Vojens,South Denmark,small
BDU,69.0558,18.5404,NO,ENDU,Europe/Oslo,Malselv,Troms,small
VDB,61.0156,9.28806,NO,ENFG,Europe/Oslo,,Oppland,small
MOL,62.7447,7.2625,NO,ENML,Europe/Oslo,Aro,Møre og Romsdal,small
LKL,70.0688,24.9735,NO,ENNA,Europe/Oslo,Lakselv,Finnmark,small
RYG,59.3789,10.7856,NO,ENRY,Europe/Oslo,Rygge,Østfold,small
SVJ,68.2433,14.6692,NO,ENSH,Europe/Oslo,Svolvær,Nordland,small
SVG,58.8767,5.63778,NO,ENZV,Europe/Oslo,Stavanger,Rogaland,large
KRK,50.0777,19.7848,PL,EPKK,Europe/Warsaw,Kraków,Lesser-Poland-Voivodeship,large
IIA,53.093,-9.56806,IE,EIMN,Europe/Dublin,Inis Meain,Connaught,small
CNL,57.5035,10.2294,DK,EKSN,Europe/Copenhagen,Sindal,North Denmark,small
FAE,62.0636,-7.27722,FO,EKVG,Atlantic/Faroe,Vagar,Vagar,small
MQN,66.3639,14.3014,NO,ENRA,Europe/Oslo,Mo i Rana,Nordland,small
UDE,51.6564,5.70861,NL,EHVK,Europe/Amsterdam,Uden,North Brabant,small
ODE,55.4767,10.3309,DK,EKOD,Europe/Copenhagen,Odense,South Denmark,small
SOJ,69.7868,20.9594,NO,ENSR,Europe/Oslo,Sørkjosen,Troms,small
LWR,53.2286,5.76056,NL,EHLW,Europe/Amsterdam,Leeuwarden,Friesland,small
WTN,53.1662,-0.52381,GB,EGXW,Europe/London,Waddington,England,small
SNN,52.702,-8.92482,IE,EINN,Europe/Dublin,Shannon,Munster,medium
RNN,55.0633,14.7596,DK,EKRN,Europe/Copenhagen,Ronne,Capital-Region,small
BOO,67.2692,14.3653,NO,ENBO,Europe/Oslo,Bodø,Nordland,medium
HVG,71.0097,25.9836,NO,ENHV,Europe/Oslo,Honningsvåg,Finnmark,small
MJF,65.784,13.2149,NO,ENMS,Europe/Oslo,,Nordland,small
SOG,61.1561,7.13778,NO,ENSG,Europe/Oslo,Sogndal,Sogn og Fjordane,small
BEQ,52.3426,0.77294,GB,EGXH,Europe/London,Thetford,England,small
AMS,52.3086,4.76389,NL,EHAM,Europe/Amsterdam,Amsterdam,North Holland,large
ORK,51.8413,-8.49111,IE,EICK,Europe/Dublin,Cork,Munster,medium
CFN,55.0442,-8.341,IE,EIDL,Europe/Dublin,Donegal,Ulster,small
DUB,53.4213,-6.27007,IE,EIDW,Europe/Dublin,Dublin,Leinster,large
RKE,55.5856,12.1314,DK,EKRK,Europe/Copenhagen,Copenhagen,Zealand,medium
STA,55.9901,8.35391,DK,EKVJ,Europe/Copenhagen,Skjern / Ringkobing,Central Jutland,small
AES,62.5625,6.1197,NO,ENAL,Europe/Oslo,Ålesund,Møre og Romsdal,small
RVK,64.8383,11.1461,NO,ENRM,Europe/Oslo,Rorvik,Nord-Trøndelag,small
SKN,68.57883,15.03342,NO,ENSK,Europe/Oslo,Hadsel,Nordland,small
TED,57.0688,8.70522,DK,EKTS,Europe/Copenhagen,Thisted,North Denmark,small
BGO,60.2934,5.21814,NO,ENBR,Europe/Oslo,Bergen,Hordaland,large
OLA,63.6989,9.604,NO,ENOL,Europe/Oslo,Ørland,Sor-Trøndelag,small
BXP,52.0058,23.1436,PL,EPBP,Europe/Warsaw,Biala Podlaska,Lublin,small
NNR,53.2303,-9.46778,IE,EICA,Europe/Dublin,Inverin,Connaught,small
KIR,52.1809,-9.52378,IE,EIKY,Europe/Dublin,Killarney,Munster,small
CPH,55.6179,12.656,DK,EKCH,Europe/Copenhagen,Copenhagen,Capital-Region,large
SQW,56.5502,9.17298,DK,EKSV,Europe/Copenhagen,Skive,Central Jutland,small
KRS,58.2042,8.08537,NO,ENCN,Europe/Oslo,Kjevik,Vest-Agder,small
OSL,60.1939,11.1004,NO,ENGM,Europe/Oslo,Oslo,Akershus,large
HFT,70.6797,23.6686,NO,ENHF,Europe/Oslo,Hammerfest,Finnmark,small
SQZ,53.3078,-0.55083,GB,EGXP,Europe/London,Scampton,England,small
RTM,51.9569,4.43722,NL,EHRD,Europe/Amsterdam,Rotterdam,South Holland,medium
BLY,54.2228,-10.0308,IE,EIBT,Europe/Dublin,Belmullet,Connaught,small
KKY,52.6508,-7.29611,IE,EIKK,Europe/Dublin,Kilkenny,Leinster,small
BYR,57.2772,11.0001,DK,EKLS,Europe/Copenhagen,Laeso,North Denmark,small
LUX,49.6266,6.21152,LU,ELLX,Europe/Luxembourg,Luxembourg,Luxembourg,small
ALF,69.9761,23.3717,NO,ENAT,Europe/Oslo,Alta,Finnmark,small
BVG,70.8714,29.0342,NO,ENBV,Europe/Oslo,Berlevåg,Finnmark,small
FRO,61.5836,5.02472,NO,ENFL,Europe/Oslo,Florø,Sogn og Fjordane,small
GLL,60.7914,9.05056,NO,ENKL,Europe/Oslo,Klanten,Buskerud,small
MEH,71.0297,27.8267,NO,ENMH,Europe/Oslo,Mehamn,Finnmark,small
VAW,70.3554,31.0449,NO,ENSS,Europe/Oslo,Vardø,Finnmark,small
TRF,59.1867,10.2586,NO,ENTO,Europe/Oslo,Torp,Vestfold,small
VDS,70.0653,29.8447,NO,ENVD,Europe/Oslo,Vadsø,Finnmark,small
BZG,53.0968,17.9777,PL,EPBY,Europe/Warsaw,Bydgoszcz,Kujawsko-Pomorskie,small
DHR,52.9234,4.78062,NL,EHKD,Europe/Amsterdam,Den Helder,North Holland,medium
LEY,52.4603,5.52722,NL,EHLE,Europe/Amsterdam,Lelystad,Flevoland,small
BYT,51.6686,-9.48417,IE,EIBN,Europe/Dublin,Bantry,Munster,small
LTR,54.9513,-7.67283,IE,EILT,Europe/Dublin,Letterkenny,Ulster,small
BLL,55.7403,9.15178,DK,EKBI,Europe/Copenhagen,Billund,South Denmark,medium
KKN,69.7258,29.8913,NO,ENKR,Europe/Oslo,Kirkenes,Finnmark,small
TOS,69.6833,18.9189,NO,ENTC,Europe/Oslo,Tromsø,Troms,small
NHT,51.553,-0.41817,GB,EGWU,Europe/London,London,England,small
WOE,51.4491,4.34203,NL,EHWO,Europe/Amsterdam,Bergen Op Zoom,North Brabant,small
SXL,54.2802,-8.59921,IE,EISG,Europe/Dublin,Sligo,Connaught,small
AAR,56.3,10.619,DK,EKAH,Europe/Copenhagen,Aarhus,Central Jutland,small
AAL,57.09276,9.84924,DK,EKYT,Europe/Copenhagen,Aalborg,North Denmark,medium
FDE,61.3911,5.75694,NO,ENBL,Europe/Oslo,Førde,Sogn og Fjordane,small
BJF,70.6005,29.6914,NO,ENBS,Europe/Oslo,Båtsfjord,Finnmark,small
SDN,61.83,6.10583,NO,ENSD,Europe/Oslo,Sandane,Sogn og Fjordane,small
RNB,56.2667,15.265,SE,ESDF,Europe/Stockholm,,Blekinge,small
THN,58.3181,12.345,SE,ESGT,Europe/Stockholm,Trollhattan,Vaestra-Gotaland,small
SFT,64.6248,21.0769,SE,ESNS,Europe/Stockholm,Skelleftea,Vaesterbotten,small
GVX,60.5933,16.9514,SE,ESSK,Europe/Stockholm,Gavle / Sandviken,Gaevleborg,small
VNO,54.6341,25.2858,LT,EYVI,Europe/Vilnius,Vilnius,Vilnius,medium
ROD,-33.8122,19.9028,ZA,FARS,Africa/Johannesburg,Robertson,Western Cape,small
SIS,-27.6486,22.9993,ZA,FASS,Africa/Johannesburg,Sishen,Northern Cape,small
JWA,-24.6023,24.691,BW,FBJW,Africa/Gaborone,,Ngwaketsi,small
LCO,-2.45,14.533,CG,FCBL,Africa/Brazzaville,Lague,Plateaux,small
MMX,55.53631,13.3762,SE,ESMS,Europe/Stockholm,Malmo,Skane,medium
GHF,49.6481,9.96649,DE,ETEU,Europe/Berlin,,Bayern,small
RLG,53.9182,12.2783,DE,ETNL,Europe/Berlin,Rostock,Mecklenburg-Vorpommern,small
FCB,-28.8231,27.9089,ZA,FAFB,Africa/Johannesburg,Ficksburg,Orange-Free-State,small
TDT,-24.5336,31.3,ZA,FATD,Africa/Johannesburg,Welverdiend,Mpumalanga,small
ULD,-28.3206,31.4165,ZA,FAUL,Africa/Johannesburg,Ulundi,KwaZulu-Natal,small
